"",BBSIS.D.I.ZST.B0.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.B0.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS,BBSIS.D.I.ZST.B1.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.B1.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS,BBSIS.D.I.ZST.B2.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.B2.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS,BBSIS.D.I.ZST.B3.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.B3.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS,BBSIS.D.I.ZST.T1.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.T1.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS,BBSIS.D.I.ZST.T2.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A,BBSIS.D.I.ZST.T2.EUR.S1311.B.A604._Z.R.A.A._Z._Z.A_FLAGS
"",Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Beta0 /daily data,,Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Beta1 /daily data,,Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Beta2 /daily data,,Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Beta3 /daily data,,Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Tau1 /daily data,,Term structure of interest rates on listed Federalsecurities (method by Svensson) / Parameter Tau2 /daily data,
unit,,,,,,,,,,,,
unit multiplier,one,,one,,one,,one,,one,,one,
last update,2021-07-09 13:55:23,,2021-07-09 13:55:23,,2021-07-09 13:55:23,,2021-07-09 13:55:24,,2021-07-09 13:55:24,,2021-07-09 13:55:24,
2021-06-14,0.62613,,-0.69391,,-3.02251,,-1.52942,,2.56927,,0.18445,
2021-06-15,0.63042,,-0.65539,,-3.07401,,-1.61320,,2.52856,,0.18700,
2021-06-16,0.64748,,-0.65731,,-3.10380,,-1.66884,,2.46261,,0.18077,
2021-06-17,0.64064,,-0.71519,,-2.92672,,-1.47535,,2.46480,,0.18975,
2021-06-18,0.57082,,-0.65814,,-2.83730,,-1.46329,,2.46227,,0.18421,
2021-06-19,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2021-06-20,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2021-06-21,0.54608,,-0.67898,,-2.69390,,-1.33827,,2.48546,,0.18716,
2021-06-22,0.62821,,-0.78974,,-2.68049,,-1.27056,,2.53916,,0.19307,
2021-06-23,0.63122,,-0.82496,,-2.66667,,-1.22510,,2.56386,,0.18136,
2021-06-24,0.62882,,-0.81172,,-2.67418,,-1.22994,,2.55673,,0.19024,
2021-06-25,0.63455,,-0.87088,,-2.60176,,-1.10865,,2.64261,,0.18640,
2021-06-26,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2021-06-27,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2021-06-28,0.66454,,-0.90401,,-2.62283,,-1.09042,,2.63651,,0.18639,
2021-06-29,0.62005,,-1.30137,,-8.15987,,5.99526,,2.05267,,1.74606,
2021-06-30,0.61274,,-1.29686,,-8.09472,,5.92403,,2.04837,,1.73633,
2021-07-01,0.62342,,-1.29470,,-7.02965,,4.85605,,2.15738,,1.80340,
2021-07-02,0.59747,,-1.27257,,-6.07504,,3.89864,,2.17720,,1.72660,
2021-07-03,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2021-07-04,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2021-07-05,0.61015,,-1.29426,,-8.00001,,5.79475,,2.13156,,1.80210,
2021-07-06,0.59332,,-1.27873,,-9.27301,,7.09832,,2.11735,,1.85011,
2021-07-07,0.51154,,-1.19757,,-24.49677,,22.34304,,2.07129,,1.97805,
2021-07-08,0.45325,,-1.13177,,-19.96837,,17.83623,,2.15890,,2.04197,
2021-07-09,0.48637,,-1.15521,,-22.29681,,20.11366,,2.12287,,2.01820,
